ext_id,ext_label,non_responsiveness,vagueness,deflection,hedging,evasion_score,primary_evasion_type,rationale,judge_model
0,Ambivalent,5,4,5,2,75.0,deflection,The response completely ignores the specific question about a 'redline' and pivots to a generic talking point about international unity and diplomatic strategy regarding North Korea.,claude-sonnet-4-6
2,Ambivalent,3,4,3,3,56.25,non_responsive,"The response never directly addresses why sanctions were dropped from the resolution or specifically how one punishes an already isolated nation, instead pivoting to broad diplomatic strategy and six-party talks messaging.",claude-sonnet-4-6
4,Ambivalent,2,3,3,1,31.25,deflection,"While the response directly addresses the credibility question, it pivots to praising Iraqi courage and discussing security rather than engaging with the specific methodology or offering an updated casualty figure.",claude-sonnet-4-6
3,Ambivalent,3,4,2,4,56.25,hedging,"The response avoids giving any specific timeline for when the resolution will be passed or when violence will cease, instead describing ongoing diplomatic processes and deferring to future consultations with parties.",claude-sonnet-4-6
7,Ambivalent,3,4,4,3,62.5,deflection,"The response pivots extensively to broad democracy rhetoric and root causes before briefly and vaguely addressing the specific questions about whether Israeli troop withdrawal timing is negotiable and whether Rice would contact Berri, never giving a direct yes/no on either point.",claude-sonnet-4-6
6,Ambivalent,3,4,4,2,56.25,deflection,"The response pivots away from the direct question about eroding support and 'walls closing in' by redirecting to Senator Warner's comments, General Casey's competence, and the principle of not fighting wars from Washington, never directly acknowledging or addressing the political pressure implied by the question.",claude-sonnet-4-6
5,Ambivalent,2,3,3,2,37.5,deflection,"The response partially addresses the question by distancing from the exact phrasing and rejecting questioning of patriotism, but pivots heavily to policy substance (PATRIOT Act, surveillance programs) rather than directly answering whether the tone was appropriate or an apology was owed.",claude-sonnet-4-6
1,Ambivalent,3,3,4,3,56.25,deflection,"Instead of directly answering whether he would invite Republicans to the White House, the response pivots to criticizing Republicans for lacking a jobs plan and engaging in political theater, avoiding a clear yes or no answer.",claude-sonnet-4-6
8,Ambivalent,4,4,3,4,68.75,non_responsive,"The response never defines a minimum threshold for success nor specifies concrete incentives offered to Arab nations, instead pivoting to general optimism and broad goals about comprehensive peace.",claude-sonnet-4-6
10,Ambivalent,2,3,3,2,37.5,deflection,"While the response briefly acknowledges Putin is the same person and admits disagreements exist, it quickly pivots to areas of U.S.-Russia cooperation (Iran, North Korea, nonproliferation) rather than directly addressing whether Putin's soul comment was a mistake or whether relations are deteriorating.",claude-sonnet-4-6
11,Clear Reply,3,4,3,4,62.5,hedging,"The response defers specific answers about force composition, leadership, and membership to a future Monday meeting, offers only general principles about Lebanese sovereignty, and explicitly declines to answer the Hezbollah precondition question entirely.",claude-sonnet-4-6
9,Ambivalent,2,4,3,2,43.75,vague,"The response partially acknowledges Iran's destabilizing role but avoids directly conceding that Tehran's influence is growing despite U.S. efforts, instead pivoting to broad ideological framing about democracy and terrorism with few concrete specifics about what actions are being taken.",claude-sonnet-4-6
12,Ambivalent,2,4,3,3,50.0,vague,"The response addresses the question's origin but avoids providing any concrete evidence or substantive analysis of cultural change, instead offering anecdotal ropeline observations and pivoting to broader themes of responsibility and prayer without engaging the specific question about contradictory evidence.",claude-sonnet-4-6
13,Clear Reply,2,3,2,2,31.25,vague,"The response addresses most parts of the multi-part question but relies on broad, generic language about partnership and cooperation rather than citing concrete achievements, and the U.S. president's answer on Medvedev scheduling is brief but direct (G-8 in Japan).",claude-sonnet-4-6
14,Ambivalent,4,4,5,2,68.75,deflection,"Rather than directly acknowledging whether a change in strategy is needed, the response pivots repeatedly to broad ideological framing about extremism, caliphates, oil, nuclear weapons, and the stakes of the 21st century, burying the narrow yes/no question under layers of unrelated geopolitical narrative.",claude-sonnet-4-6
16,Ambivalent,2,4,2,2,37.5,vague,"The response acknowledges the question but avoids articulating any specific philosophy or criteria for pardons, offering only generic references to 'strict criterion' without elaborating on what that criterion actually is.",claude-sonnet-4-6
15,Clear Reply,1,2,1,2,12.5,none,"The response directly addresses the question with specific messages to both Iran and Syria, naming concrete demands (nuclear compliance, stopping terrorism, allowing Iraqi democracy to function), though it uses some broad diplomatic language without specifying consequences or timelines.",claude-sonnet-4-6
17,Ambivalent,1,2,1,3,18.75,hedging,"The response directly answers the question by declining to campaign against Lieberman, though it avoids elaborating on the reasoning behind the decision.",claude-sonnet-4-6
18,Ambivalent,3,3,3,4,56.25,hedging,"The response never directly answers whether a veto would be issued if the Armed Services Committee version passed, and reframes the 'open rebellion' characterization as merely 'a little work to do,' avoiding direct engagement with both specific questions asked.",claude-sonnet-4-6
22,Ambivalent,4,4,3,4,68.75,non_responsive,"The question asked for odds/probability of a guest-worker provision passing, but the response instead discussed the policy merits of guest-worker programs without ever assigning any probability or likelihood estimate.",claude-sonnet-4-6
21,Clear Reply,2,3,3,1,31.25,deflection,"The response directly answers both questions but then pivots extensively to unrelated talking points about Lebanon's democracy, UN Resolution 1559, the Palestinian-Israeli peace process, and an upcoming Middle East trip, padding a direct answer with significant off-topic narrative.",claude-sonnet-4-6
19,Ambivalent,2,4,2,3,43.75,vague,"The response acknowledges the urgency but avoids directly addressing whether the ceasefire is falling apart or explaining why Israel's raid wasn't a violation, instead offering generic language about 'ongoing conversations' without concrete specifics on timeline, troop commitments, or the specific violations raised.",claude-sonnet-4-6
20,Ambivalent,2,3,2,3,37.5,vague,"The response addresses the NIE discrepancy and Iran threat concerns substantively but avoids directly acknowledging the Israeli-American intelligence disagreement or confirming whether Bush's hands are tied, while Olmert deflects with praise for Bush rather than disclosing any counter-positions he may have presented.",claude-sonnet-4-6
24,Ambivalent,2,4,2,3,43.75,vague,"The response nominally addresses the question by mentioning international pressure but provides no concrete mechanism, leverage point, or specific action that would compel Hezbollah to accept a ceasefire, relying instead on generic language about allies and the challenge of terrorism.",claude-sonnet-4-6
23,Ambivalent,2,3,3,2,37.5,vague,"The response acknowledges the Europe question and expresses concern but avoids committing to whether current steps are sufficient or what specific 'bolder' measures are needed, instead offering generic language about 'firewalls' and 'political will' while also pivoting to Asia-Pacific trade and strategic presence unprompted.",claude-sonnet-4-6
