transcript_id,company_ticker,entities_masked,orig_score,masked_score,human1,human2,orig_type,masked_type,human_mean
114420419023240,STXB,14,25.0,37.5,3.0,3.0,vague,vague,3.0
156459019014794,CBZ,2,12.5,12.5,2.0,1.0,none,none,1.5
119312520008077,RTIX,3,31.25,31.25,5.0,1.0,hedging,hedging,3.0
156459019014794,CBZ,1,6.25,12.5,1.0,2.0,vague,vague,1.5
119312520173159,SWBI,11,37.5,43.75,5.0,6.0,vague,vague,5.5
156459022001281,VOXX,2,25.0,25.0,4.0,2.0,vague,vague,3.0
119312521060435,WATT,17,31.25,31.25,5.0,5.0,vague,vague,5.0
110465920034085,FPI,4,12.5,12.5,2.0,0.0,none,none,1.0
119312520137569,PINC,27,25.0,37.5,3.0,2.0,vague,vague,2.5
111080320000009,ILMN,13,31.25,31.25,3.0,3.0,vague,vague,3.0
110465921138071,AXDX,20,25.0,31.25,2.0,3.0,vague,vague,2.5
119312521110422,VISN,13,12.5,12.5,3.0,1.0,vague,vague,2.0
110465922087979,SPXC,18,6.25,12.5,1.0,0.0,none,none,0.5
156459019000322,FLXN,0,18.75,18.75,4.0,2.0,vague,vague,3.0
76374419000127,LCII,7,37.5,62.5,4.0,3.0,hedging,hedging,3.5
155837021015796,MRAM,3,31.25,18.75,5.0,2.0,vague,none,3.5
72695820000069,CASY,5,12.5,18.75,2.0,2.0,vague,vague,2.0
117152023000126,PLYM,1,25.0,25.0,4.0,5.0,vague,vague,4.5
110465922127184,LPTV,14,6.25,31.25,1.0,0.0,none,vague,0.5
117152022000175,PLYM,3,12.5,12.5,3.0,1.0,vague,vague,2.0
76883519000069,BIG,2,25.0,25.0,5.0,3.0,vague,vague,4.0
76883519000069,BIG,2,50.0,50.0,5.0,6.0,vague,vague,5.5
156459019039301,CBZ,3,18.75,18.75,3.0,2.0,vague,vague,2.5
76883519000069,BIG,17,12.5,12.5,3.0,0.0,none,none,1.5
110465921138071,AXDX,7,25.0,31.25,4.0,5.0,vague,deflection,4.5
101884019000013,ANF,22,50.0,37.5,6.0,4.0,vague,non_responsive,5.0
155837021015796,MRAM,6,31.25,31.25,4.0,3.0,vague,vague,3.5
7660519000127,PATK,11,25.0,25.0,4.0,2.0,vague,vague,3.0
110465922127184,LPTV,11,37.5,31.25,5.0,4.0,vague,vague,4.5
4392019000043,GEF,30,31.25,37.5,4.0,4.0,vague,deflection,4.0
119312519205560,FCN,11,25.0,25.0,3.0,3.0,vague,vague,3.0
4392020000064,GEF,10,25.0,25.0,2.0,2.0,vague,vague,2.0
156459019006435,TDW,2,31.25,31.25,3.0,2.0,vague,vague,2.5
102891821000008,PPBI,0,37.5,37.5,5.0,4.0,vague,vague,4.5
76374419000036,LCII,3,31.25,31.25,3.0,3.0,vague,vague,3.0
156459023002247,STAA,16,56.25,62.5,6.0,8.0,hedging,hedging,7.0
119312519191305,ACIA,10,31.25,31.25,3.0,3.0,vague,vague,3.0
119312520216485,MYO,3,6.25,12.5,1.0,0.0,none,vague,0.5
119312523202937,STAA,5,37.5,37.5,3.0,2.0,vague,vague,2.5
119312522249298,TALO,27,50.0,31.25,5.0,4.0,vague,vague,4.5
119312520216485,MYO,2,18.75,12.5,4.0,2.0,vague,vague,3.0
117494719000249,RGR,3,50.0,62.5,5.0,5.0,vague,deflection,5.0
72695820000120,CASY,13,18.75,37.5,2.0,2.0,hedging,vague,2.0
119312520173159,SWBI,2,6.25,6.25,2.0,0.0,none,none,1.0
119312523202937,STAA,12,37.5,37.5,4.0,3.0,vague,vague,3.5
156459020003494,NBIX,18,31.25,25.0,3.0,4.0,vague,vague,3.5
143774919021287,IPHI,8,25.0,18.75,5.0,2.0,vague,non_responsive,3.5
119312519289172,DXC,7,37.5,31.25,6.0,2.0,vague,vague,4.0
121390021025298,SBFG,6,12.5,12.5,3.0,0.0,none,none,1.5
89222219000091,BREW,13,37.5,37.5,5.0,4.0,vague,vague,4.5
7660520000041,PATK,1,12.5,12.5,2.0,0.0,none,none,1.0
119312521110422,VISN,13,12.5,12.5,3.0,0.0,none,none,1.5
156459020003494,NBIX,15,37.5,37.5,5.0,5.0,hedging,hedging,5.0
101884019000013,ANF,10,25.0,31.25,3.0,3.0,vague,vague,3.0
76374419000011,LCII,2,12.5,12.5,2.0,0.0,none,none,1.0
110465922087979,SPXC,3,18.75,18.75,3.0,2.0,vague,vague,2.5
162828021023214,AFIB,14,25.0,25.0,3.0,3.0,vague,vague,3.0
72695820000069,CASY,3,12.5,18.75,3.0,1.0,none,vague,2.0
148705219000006,LTXB,9,12.5,12.5,1.0,0.0,none,none,0.5
119312522188617,SYRS,7,18.75,25.0,4.0,2.0,vague,vague,3.0
119312519289172,DXC,14,31.25,37.5,4.0,4.0,vague,vague,4.0
119312523050926,FCN,10,25.0,25.0,5.0,2.0,vague,vague,3.5
162828021023214,AFIB,2,25.0,18.75,3.0,4.0,vague,vague,3.5
