ext_id,ext_label,non_responsiveness,vagueness,deflection,hedging,evasion_score,primary_evasion_type,rationale,judge_model
ba1ae472edada99f936c27923e841843,direct,1,2,1,1,6.25,vague,"The response directly addresses the international sales question but provides only an approximate range ('sub 10%') rather than a precise percentage, and adds a caveat excluding Ctrack components.",claude-sonnet-4-6
6553671c06c4700c5442cce22bf67542,intermediate,2,4,2,3,43.75,vague,"The response redirects from the specific SG&A/R&D breakdown requested to aggregate cash burn figures, explicitly refuses to break down expenses by category, and provides only qualitative descriptions of the commercial team rather than concrete headcount or hiring plans.",claude-sonnet-4-6
b02c49cc8c9dc541665446c77b3abfdf,direct,2,3,2,2,31.25,vague,"The response addresses the IO vs MSR question but avoids directly answering whether IO is the 'preferred' capital deployment vehicle, instead describing current market conditions and characteristics without committing to a clear preference.",claude-sonnet-4-6
63a7bb7db84d525807cdbdc0e5b39f90,direct,1,2,1,1,6.25,none,"The response directly addresses both parts of the analyst's question with specific figures (17% cost reduction, $1.3 million savings) and clearly explains the FDC driver and the 2P-to-1P reserve shift mechanism.",claude-sonnet-4-6
d2dd7d590d44d055d0371d19ad11ded8,direct,1,3,1,2,18.75,vague,"The response directly confirms the analyst's question about 2021 being a planning/foundational year with mine-specific targets by year-end, but lacks concrete details on cost schedules or specific abatement project timelines.",claude-sonnet-4-6
2f01ac32ef542ed97f4d3b5040fc5570,direct,1,2,1,2,12.5,none,"Management directly addresses the question about royalty coverage, explaining the checkerboard claim structure and specifically noting that the East Gouldie extension may fall on one of their eastern claim blocks, though some uncertainty remains given early-stage information.",claude-sonnet-4-6
f92e6f73812d8b7c92847e5db2340a86,fully_evasive,2,3,1,4,37.5,hedging,"Management explicitly declines to give a definitive answer by citing incomplete data with a month remaining, which is a direct hedge rather than a full answer to the yes/no question asked.",claude-sonnet-4-6
6e3f73ef7b14917b56ae0d75fdf85dc8,direct,1,3,1,2,18.75,vague,"The response directly addresses the question about growth strategies including new product development, but provides only general descriptions (new categories, price points, styling) without specific product names, timelines, or investment amounts.",claude-sonnet-4-6
87aa13eb058e80a7ade94bd110557cec,direct,1,2,1,2,12.5,none,"Management directly acknowledges they don't have the specific data requested and confirms understanding of the question, which is a straightforward and honest answer rather than evasion.",claude-sonnet-4-6
524192704d901f4127b3938fced90599,direct,2,3,1,2,25.0,vague,"The response addresses the court case question directly but avoids specifying concrete outcomes or scenarios, relying on general optimism and broad conditions rather than detailing specific pathways through various case outcomes.",claude-sonnet-4-6
786dfcc01205bd78e5d270dc088e5e5e,intermediate,2,3,1,3,31.25,hedging,"The response directly engages with the production trajectory question and provides some shape (higher Q2/Q3 due to DUC completions), but explicitly declines to provide the specific exit rate requested, citing post-storm reconfiguration.",claude-sonnet-4-6
