transcript_id,company_ticker,filing_date,question_text,response_text,evasion_score,primary_evasion_type,rationale
000072695820000135,CASY,2020-12-10,"Stephen P. Bramlage Casey's General Stores, Inc. - CFO Yes. I think -- I don't think there's too much to read into it, per se. I mean, the quarter-to-quarter sequential trend in credit card fees is, to some extent, going to be driven by the price of fuel, right? And what we're seeing in terms of the retail price of fuel and from a year-over-year standpoint. We're always in the midst of various renegotiations with financial institutions around some of the fees. And so I don't think there's anything we would point to that there's been a substantive change in the way we're incurring or the way we would expect to incur credit card fees over the medium term. The price of fuel certainly drives it quite a bit in any particular quarter. Stephen P. Bramlage Casey's General Stores, Inc. - CFO Well, it's certainly something we're going to try to do over a longer term. There's a lot of moving parts in those discussions, and it's always going to be a substantial piece of expense for us, but it's big enough that we're going to remain diligent in terms of trying to manage it to the best of our ability. But no, we would certainly not have any near-term expectation of change directly because of the conversations we're having now because it's just quite a long lead time for us to get that stuff through the pipe. Operator Our next question comes from the line of John Royall from JPMorgan. DECEMBER 08, 2020 / 1:30PM GMT, Q2 2021 Caseys General Stores Inc Earnings Call REFINITIV STREETEVENTS | www.refinitiv.com | Contact Us ©2020 Refinitiv. All rights reserved. Republication or redistribution of Refinitiv content, including by framing or similar means, is prohibited without the prior written consent of Refinitiv. 'Refinitiv' and the Refinitiv logo are registered trademarks of Refinitiv and its affiliated companies. 15 Stephen P. Bramlage Casey's General Stores, Inc. - CFO Yes. I'll start with that, John. So I think the net investment back into the Bucky's stores to get our kitchens in over the next couple of years of a $50 million number. That's a reasonable estimate based on the information we have. Our point of view has not changed as it relates to that at all. I think from a run rate perspective, they're running, call it, somewhere (around) $6 million. If I look at it from a D&A perspective, it's probably the easiest way for me to describe it. I would expect, once we get through intangible valuation associated with that transaction, we probably will incur somewhere in the neighborhood of about $20 million of incremental D&A from that deal, right? We'll be depreciating their assets. There'll be a couple million dollars of additional intangible amortization and the money that we put in is probably $5 million to $6 million. And so I think $20 million going forward for the first couple of years, all in would be reflective of kind of the cost of the capital investment that we would be receiving from that transaction. Operator At this time, I'm showing no further questions. I would like to turn the call back over to Darren Rebelez, CEO, for closing remarks.","Operator Ladies and gentlemen, this concludes today's conference call. Thank you for participating. You may now disconnect. DISCLAIMER Refinitiv reserves the right to make changes to documents, content, or other information on this web site without obligation to notify any person of such changes. In the conference calls upon which Event Briefs are based, companies may make projections or other forward-looking statements regarding a variety of items. Such forward-looking statements are based upon current expectations and involve risks and uncertainties. Actual results may differ materially from those stated in any forward-looking statement based on a number of important factors and risks, which are more specifically identified in the companies' most recent SEC filings. Although the companies may indicate and believe that the assumptions underlying the forward-looking statements are reasonable, any of the assumptions could prove inaccurate or incorrect and, therefore, there can be no assurance that the results contemplated in the forward-looking statements will be realized. THE INFORMATION CONTAINED IN EVENT BRIEFS REFLECTS REFINITIV'S SUBJECTIVE CONDENSED PARAPHRASE OF THE APPLICABLE COMPANY'S CONFERENCE CALL AND THERE MAY BE MATERIAL ERRORS, OMISSIONS, OR INACCURACIES IN THE REPORTING OF THE SUBSTANCE OF THE CONFERENCE CALLS. IN NO WAY DOES REFINITIV OR THE APPLICABLE COMPANY ASSUME ANY RESPONSIBILITY FOR ANY INVESTMENT OR OTHER DECISIONS MADE BASED UPON THE INFORMATION PROVIDED ON THIS WEB SITE OR IN ANY EVENT BRIEF. USERS ARE ADVISED TO REVIEW THE APPLICABLE COMPANY'S CONFERENCE CALL ITSELF AND THE APPLICABLE COMPANY'S SEC FILINGS BEFORE MAKING ANY INVESTMENT OR OTHER DECISIONS. ©2020 Refinitiv. All Rights Reserved.",100.0,non_responsive,"The 'management response' is entirely the operator's closing statement and Refinitiv's legal disclaimer, containing zero substantive engagement with any analyst question."
000119312519322971,SAFM,2019-12-26,"So Joe, we talked  Im forgetting some of the timing here, I guess its age that I have an excuse for. But you took  you made a conscious decision to bump your salaries up for your employees. I think we talked about it in March or April and then you felt...","Chairman & CEO June 2. 17 THOMSON REUTERS STREETEVENTS | www.streetevents.com | Contact Us ©2019 Thomson Reuters. All rights reserved. Republication or redistribution of Thomson Reuters content, including by framing or similar means, is prohibited without the prior written consent of Thomson Reuters. Thomson Reuters and the Thomson Reuters logo are registered trademarks of Thomson Reuters and its affiliated companies. Client Id: 77 DECEMBER 19, 2019 / 4:00PM, SAFM - Q4 2019 Sanderson Farms Inc Earnings Call",100.0,non_responsive,The response contains only a document header/metadata with no actual answer to the analyst's question about the timing and rationale of the salary increase decision.
000119312517372306,,2017-12-18,"Question  John Joseph Baumgartner: Anthony, just want to clarify, in terms of the route to market and your comments there about keeping the Snyders DSD separate. Given the IBO structure of these DSDs, is it just that you dont necessarily have the flexibility or the authority to go put Lance products on Pepperidge trucks and vice versa? Or would the owner operators be willing to cross sell? Or are they really just not complementary geographies here in terms of the synergies of that last mile of distribution? Answer  Anthony P. DiSilvestro: Well, I think theres certainly complementary geographies. The thing is these are independent business owners that operate under contracts. Those contracts, its Pepperidge Farm has and a different of contract Snyders- Lance has. So we really need to get in there and understand it. I think our just start going in assumptions is that we need to operate that independent system separate from ours, but well certainly look for opportunities to cross sell and expand the distribution of both Pepperidge and Snyders-Lance projects - products through those systems. Question  John Joseph Baumgartner: Okay, so it is on the table on some point down the road then? Answer  Anthony P. DiSilvestro: Well have to see. Answer  Operator: Our next question comes from Steven Strycula of UBS. Analyst: 11 Question  Steven A. Strycula: Congratulations on the deal. Two quick questions as it relates to Lance, I think you already touched on this Denise, but theyre under going right now an early-stage transformation, involving SKU reduction or base budgeting factory, footprint efficiencies, et cetera. How do you think about talent retention, and keeping key personnel to ensure a smooth transition over the next call it, 2 or 3 years given the complexity of what theyre undertaking? And then the second piece to my question would be, as it relates to secondary businesses of partner brands and contract manufacturing, how do you think about whether thats core or necessary revenue to kind of keep in the pro forma portfolio? Answer  Denise M. Morrison: I think the people aspect of this acquisition is very important, and I look forward to meeting the people at Snyders-Lance and we will be developing a comprehensive program regarding the talent. The second piece of your question regarding the partner brands, I think its very intriguing what theyve been able to do with partner brands, particularly smaller challenger brands providing a distribution system so we will be taking that into consideration as we review the business going forward. Answer  Operator: Final question comes from the line of Michael Lavery of Piper Jaffray. Analyst: Question  Michael Scott Lavery: Just a little bit of a follow-up on Matthews question. Your portfolio was almost half snacks and close to half meals, but even with that sort of 10% beverage where you have some struggles in [V8] and on the Bolthouse side, and youre up against obviously, much bigger competitors typically in beverages in general, how do you see your portfolio evolving maybe further? Is beverages a core part of it, and certainly without that, snacks would be more than half. Is that the direction you think you prefer to go? Answer  Denise M. Morrison: Yes, well, we consider the beverage business a very important part of our Campbell Fresh business. And weve been  have a billion-dollar platform in fresh food and beverage and snacks. So thats a very strategic business for us. In V8, weve had a tale of 2 cities, as you know. Weve had some growth on our core V8 red juices and our V8 plus energy is very robust. We had some issues on our V8 Vfusion and V8 Splash that were dealing with. So, but we will continue to review the portfolio as we do systemically as part of our annual strategic plan. Answer  Operator: And that concludes the question-and-answer session for today. Id like to turn the conference back over to Ken Gosnell for any closing remarks. Answer  Ken Gosnell: Thank you, everyone, for joining our call today. A full replay will be available about 2 hours after the call concludes by going online or calling 1 (404) 537-3406. The access code is 8969888. You have until December 31 at midnight. At which point, we move our earnings call and this strictly into the website, investor.campbellsoupcompany.com. Just click Recent Webcast and Presentations. If you have further questions, please call me at (856) 342-6081. If youre a reporter with questions, please call Thomas Hushen, at (856) 342-5227. If you are a Snyders-Lance investor, please contact Kevin Powers at (704) 557- 8279. Thanks, everyone. 12 Answer  Operator: Ladies and gentlemen, thank you for participating in todays conference. This does conclude the program, and you may all disconnect. Everyone, have a great day. StreetEvents transcripts content provided by Thomson Reuters Important Information For Investors And Shareholders This communication does not constitute an offer to buy or sell or the solicitation of an offer to buy or sell any securities or a solicitation of any vote or approval. This communication relates to a proposed acquisition of",") by Campbell Soup Company. In connection with this transaction, the Company will file relevant materials with the Securities and Exchange Commission (the  SEC ). INVESTORS AND SECURITY HOLDERS OF THE COMPANY ARE URGED TO READ THE PROXY STATEMENT AND OTHER DOCUMENTS THAT MAY BE FILED WITH THE SEC CAREFULLY AND IN THEIR ENTIRETY IF AND WHEN THEY BECOME AVAILABLE BECAUSE THEY WILL CONTAIN IMPORTANT INFORMATION. Any definitive proxy statement(s) (when available) will be mailed to shareholders of the Company. Investors and security holders will be able to obtain free copies of these documents (when available) and other documents filed with the SEC by the Company through the website maintained by the SEC at http://www.sec.gov. Copies of the documents filed with the SEC by the Company will be available free of charge on the Companys internet website at http://ir.snyderslance.com/sec.cfm or by contacting the Companys Investor Relations Department by email at kpowers@snyderslance.com or by phone at 704-557-8279. PARTICIPANTS IN THE SOLICITATION The Company, its directors and certain of its executive officers may be considered participants in the solicitation of proxies from the Companys shareholders in connection with the proposed transaction. Information about the directors and executive officers of the Company is set forth in its Annual Report on Form 10-K for the year ended December 31, 2016, which was filed with the SEC on February 28, 2017, its proxy statement for its 2017 annual meeting of shareholders, which was filed with the SEC on March 27, 2017, its Quarterly Report on Form 10-Q for the quarter ended September 30, 2017, which was filed with the SEC on November 9, 2017, and in other documents filed with the SEC by the Company and its officers and directors. These documents can be obtained free of charge from the sources indicated above. Additional information regarding the participants in the proxy solicitations and a description of their direct and indirect interests, by security holdings or otherwise, will be contained in the proxy statement and other relevant materials in connection with the transaction to be filed with the SEC when they become available. CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS Certain statements in this communication regarding the proposed acquisition of the Company, including any statements regarding the expected timetable for completing the proposed transaction, benefits of the proposed transaction, future opportunities, future financial performance and any other statements regarding future expectations, beliefs, plans, objectives, financial conditions, assumptions or future events or performance that are not historical facts are forward-looking statements made within the meaning of Section 27A of the Securities Act of 1933, as amended, and Section 21E of the Securities Exchange Act of 1934, as amended. The words aim, anticipate, believe, could, ensure, estimate, expect, forecasts, if, intend, likely may, might, outlook, plan, positioned, potential, predict, probable, project, should, strategy, will, would, and similar expressions, and the negative thereof, are intended to identify forward-looking statements. All forward-looking information are subject to numerous risks and uncertainties, many of which are beyond the control of the Company, that could cause actual results to differ materially from the results expressed or implied by the statements. These risks and uncertainties include, but are not limited to: failure to obtain the required vote of the Companys shareholders; the timing to consummate the proposed transaction; the risk that a condition to closing of the proposed transaction may not be satisfied or that the closing of the proposed transaction might otherwise not occur; the risk that a regulatory approval that may be required for the proposed transaction is not obtained or is obtained subject to conditions that are not anticipated; the diversion of management time on transaction-related 13 issues; and risk that the transaction and its announcement could have an adverse effect on the Companys ability to retain customers and retain and hire key personnel. Additional information concerning these and other risk factors can be found in the Companys filings with the SEC and available through the SECs Electronic Data Gathering and Analysis Retrieval system at http://www.sec.gov, including the Companys most recent Annual Reports on Form 10-K, Quarterly Reports on Form 10-Q and Current Reports on Form 8-K. The foregoing list of important factors is not exclusive. The Companys forward-looking statements are based on assumptions that the Company believes to be reasonable but that may not prove to be accurate. The Company assumes no obligation to update or revise any forward-looking statements as a result of new information, future events or otherwise, except as may be required by law. Readers are cautioned not to place undue reliance on these forward-looking statements that speak only as of the date hereof. 14",100.0,deflection,"The management response is entirely boilerplate SEC legal/regulatory disclosure text that has no connection whatsoever to the analyst questions asked about route-to-market strategy, talent retention, or portfolio direction."
000119312517370844,SAFM,2017-12-15,"Group, LLC, Research DivisionResearch Analyst So I was wondering when you think  so when do you think they can catch up, so we could get the age down to get the flock matching more closely to the pullet placement size. Because right now, its really difficult to see how the USDA, you can reach the USDA number for 18, so I was just wondering if you have insight, could they be caught up by March? Could they be caught by April? So what are you all thinking on that?","Sanderson Farms, Inc.Chairman & CEO Im going to have to let... THOMSON REUTERS | Contact Us ©2017 Thomson Reuters. All rights reserved. Republication or redistribution of Thomson Reuterscontent, including by framing or similarmeans, is prohibited without the prior written consent of Thomson Reuters. Thomson Reuters and the Thomson Reuters logo are registered trademarks of Thomson Reuters and its affiliated companies. 17 12/14/2017 11:00 AM GMT, Q4 2017 Sanderson Farms Inc Earnings Call",87.5,non_responsive,The response is completely cut off mid-sentence with no substantive answer provided to the analyst's specific question about the timeline for flock age normalization.
000095017023023203,VOXX,2023-05-19,"©2023 Refinitiv. All rights reserved. Republication or redistribution of Refinitiv content, including by framing or similar means, is prohibited without the prior written consent of Refinitiv. 'Refinitiv' and the Refinitiv logo are registered trademarks of Refinitiv and its affiliated companies. 12 remarks. ─────────────────────────────────────────────────────────────────────────────────────","Okay. I know disappointing results based on what you heard this morning. But when I look at VOXX and the brands that we have, the placement that we have across the world and the expansion that we're planning, it gives me hope that we can see growth this year, modest. We have a lot of new product coming and that should help add to it. And with a lowering of the products, the problems that we've seen over the years that supply chain and chips and things like that, that should give us more opportunity to get our products onto more and more cars. I want to thank you for taking the time to listen today, and I wish you a good day. ─────────────────────────────────────────────────────────────────────────────────────",81.25,non_responsive,"The management response is a closing remark that completely ignores any analyst question, offering only generic optimism about growth and new products without addressing any specific inquiry."
000004392020000064,GEF,2020-09-01,"Larry, just on your -- thanks for your 4Q commentary. Just wanted to dig in a bit to it. So you mentioned higher SG&A, sequentially, I think as incentive comp comes back. And SG&A, year-to-date, has gone from, I think, $135 million at the start of the year down to $120 million in 3Q. I'm just wondering what exactly you're expecting in terms of SG&A cost in the fourth quarter. And then what do you think a sustainable quarterly level as given the degree of the declines year-over-year in fiscal 2Q and 3Q. And then you mentioned -- I think you had $5 million of opportunistic sourcing benefits in 3Q. I forget what that number was in 2Q. I know you said you're not expecting more in 4Q. But do you think it's possible you'll get more opportunistic sourcing benefits in 4Q? And just how are you thinking about the sustainability of that benefit in the RIPS business?","Yes. Sure. Let me take the sourcing first, Adam. Yes. Could we get more? Certainly, and we challenged our sourcing team to do it all time. We just don't build it in the forecast. I mean, we had roughly $11 million in the -- was it $11 million in 2Q? $7 million. $7 million in 2Q and $5.5 million in Q3. So that $5.5 million, by not putting it into the fourth quarter, it's about $0.06 a share kind of thing. In SG&A, it's a combination of we -- when we completed our forecast for the remainder of the year, looking at the numbers, we knew the impact on incentives. And so we've made a bunch of incentive adjustments in the third quarter that won't repeat in the fourth quarter because, obviously, if we hit our forecast, we've already made the adjustments and -- to a great degree. So it's that. It also is we had some ERP noncapitalizable costs that were delayed. COVID has required us to slow down. We can't travel quite as much. We're starting to open that up and catch up. We want to try to get those things done so we can leverage that into savings and insights. So there's some of that cost going in. And then the other is professional fees, both related to that and actually some tax planning things we've got going on that we think will benefit us in the future that relate to some regulations that were just issued and some other transactions that we're doing, along with some other professional fees that have been deferred. Some of those are also travel-related things that could not happen and have been pushed off. So all told, we're expecting SG&A to be about $11.5 million higher in the fourth quarter roughly and so about $0.14 a share kind of swing there. Since I basically -- let me just walk from third quarter to fourth quarter since we're going through that. I might as well just do that. Say third quarter at $0.85 a share, I mentioned $0.01 to $0.03 on the hurricane. That's a drop there. We also have -- the SG&A is about $0.14. Sourcing is about $0.06. Going the other way is OCC, $0.15 pickup over the last quarter. Then tax is about $0.09 a share, roughly, because the -- we ended up settling a lot of exams, really hashing through and looking at a lot of the reserves we set up for various tax positions over the years, and the settlement positions that we had, that ended up freeing up about -- what equates to about a $0.09 per share differential between Q3 and Q4. So a little bit of that, the good quarterly results, at least we thought it was good, for Q3 related to this tax pickup. The other item's a little bit more complex, but it has to do with the success in CorrChoice. And CorrChoice ran hard, as Pete mentioned, through July. That drove inventories down. We obviously have a mill system. We then sell into CorrChoice. Oftentimes, they're holding paper inventory that they have for production needs. What happens is there's intercompany profit tied up in that. The mill profit gets tied up in the inventory held in the CorrChoice system. When it gets sold out, that's recognized. And so you have -- intercompany profit that's generally tied up. The other thing that causes some of that to free up is if margins squeeze. Well, margins got squeezed. The combination of reduced inventories and margin squeeze in CorrChoice actually freed up about $6.7 million of profit in the third quarter that maybe usually would have been tied up in ending inventory. In the fourth quarter, that will reverse. We'll probably end up, we think, with about $1.1 million of profit tied up in inventory more than where we are now. So you basically have a $7.8 million swing in profitability between the quarters for that item, which is about $0.09. If you take all those items together, it's about $0.25. It would take you down to $0.60. Our midpoint on the guidance is $0.66, so a 10% improvement quarter-over-quarter in just operations. And then the range around it is it could be 10% or -- plus 10% on that just because of the uncertainty of what -- how quickly things will recovering the industrial side of things. So hopefully, that's helpful clarity.",0.0,none,"Management directly and comprehensively answered all parts of the question with specific dollar figures, per-share impacts, and a detailed quarter-over-quarter bridge from Q3 to Q4 guidance."
000004392020000069,GEF,2020-12-14,"Yes. So I guess, first off, it looks like it's about $180 million EBITDA differential between what you realized in fiscal year '20 and what you're sort of guiding for fiscal year '22 at the midpoint. I was just curious as to how we should think about each of the segments from a contribution standpoint towards that $180 million or so improvement. I mean there's just so much going on with your numbers with COVID in fiscal year '20 and price/cost in paper. So any incremental color would be helpful.","Yes. Sure, Ghansham. And I think, hopefully, this will be helpful. What we've tried to do is walk from where we were before on these -- on the commitments. And you think back what we took was our '18 results across the businesses. We added in the $220 million of run rate from Caraustar. DECEMBER 10, 2020 / 1:30PM, GEF.N - Q4 2020 Greif Inc Earnings Call We added in then with $60 million of synergies. We had some for our Tholu acquisition, and we had just some other organic growth related to CapEx, our Palmyra addition and all those. And that got us to the fundamental pieces of each of the businesses. So let me take you and walk you from where we were on the midpoint in each of them previously to where we are now with the big elements. And PPS at that time had a midpoint target of about $510 million. We got a $10 million drop that is really related to a long-term decision we made that really, we believe, will drive profitability over the long term, and that was the closure of our Mobile mill facility. Very inefficient mill system, low profit, one that we know, over time, the closure that's going to drive more profitability. But it -- in that shorter period through '22, actually, it's a decrement to where we were before of about $10 million, but then will drive profitability after that. The other related item is we have seen a need to increase our manufacturing costs short term in some of our -- the acquired facilities and even some of our legacy around improved safety protocols, all those kind of things that will continue. Is it disinfecting? It is all those kind of things, but also just some inefficiencies and how we've been operating, that we believe we will turn around over time. But through '22, we won't have turned those around yet. Insurance and freight are -- we're in a really hard market in property and casualty insurance, and we -- through discussions with our brokers and consultants, we don't see that turning around. And freight costs are up, which I think is relatively well known. It's been a decrease in the number of drivers and as part of the whole impact of things. So that's about $15 million. I think I mentioned manufacturing cost was about $20 million. And then the other was in that $220 million in the original, we had -- so there was a -- see they had been running at about $5 million of profitability in the CPG business, but it had begun to deteriorate. And we had a path to turn it around, but it was going to require a lot of CapEx to get us back to an acceptable level, which led us to then sell the business and get rid of that what was not a productive asset for us and avoid the CapEx. And we did so also with a long-term supply contract where we agreed in those contracts the prices that were slightly less than what we have on our internal contracts selling to ourselves. So that was about $8 million. So you take those items, you got $10 million on the Mobile, you got -- CPG is about $8 million. The manufacturing cost item is $20 million. Insurance and freights, $15 million. And then you got $1 million of other minor stuff. So it takes you from $510 million to $456 million as a midpoint on PPS. On RIPS, it's essentially looking at this and just improvements in operating profit, some things that we see happening in that business where we believe that our -- will increase our profit by $11 million. And then we've got another net $5 million or so of SG&A benefits that we have plans to achieve incremental to where we were at the time of the last commitment. So -- and then just some other decreases in expenses from some of the things that we've done around cash flow hedging, lower pension costs and those kind of things. So that's $9 million. So you go from $302 million to $307 million in those two. So PPS is obviously the major item.",0.0,none,"Management directly and thoroughly addresses the question by walking through each segment's contribution with specific dollar amounts, named initiatives, and detailed explanations for each variance."
000004392021000022,GEF,2021-02-26,"Hey thanks for taking my questions, it’s actually John Babcock on for George. Starting out, I was just wondering if you can discuss -- and discuss the cost and other one-off pressures in the paper for 1Q, how large that effect was, and then also how big of a burden you're expecting in fiscal 2Q?","Yes. In the first quarter, the impact between OCC and the chemical cost and some of the related other raw materials is about $30 million year-over-year drag. And as we go into 2Q, the OCC cost year-over-year based on our $82 assumption works out to about $11 million headwind year-over-year.",0.0,none,"The response directly answers both parts of the question with specific dollar figures ($30 million Q1 drag, $11 million Q2 headwind) and a named assumption ($82 OCC cost)."
000004392021000041,GEF,2021-06-11,"I wanted just to start out, Larry. Can you talk with us a little bit about what we should expect from kind of SG&A in the back half of the year? I mean, it's a big jump here in the second quarter, and it really offset a lot of the improvement in gross profit. It's also above 11% level. So I'm just trying to figure out whether that type of level is something we should expect kind of through the back half of the year.","Yes. It's a fair question, Mark. And we continue to focus on how do we drive SG&A costs out of the business. And some of that has to do with the fact that the SG&A that we took over when we acquired Caraustar was higher than ours, and we continue to work on that. Some of that's been delayed because of the COVID impact on implementing our ERP system. Unfortunately, this pushed us back about six to nine months on various implementations, and that's having some impact on our SG&A costs. The incentive adjustment that we mentioned is just a play just on performance year-over-year, and that will play out over time to get back to the -- our target levels unless we're far exceeding our targets, which is the case this year. So specifically, though, if I look to the back end of this year, and we do anticipate that SG&A expense for the remainder of the year would be about $0.21 per share of a drag relative to what it was in the first half of the year, and that is because we will start to see more travel and entertainment, particularly relative to last year, but even relative to the first part of this year. Now we're not going to go crazy on any of that stuff. We're going to manage that to be significantly lower than it was pre-pandemic. But it is going to be higher in the second half of the year. And if I look at operations as a whole, if I just walk you, so the first half of the year was $1.74 EPS. Operations, excluding the OCC impact, is going to be a lift of about $2.22 a share. That offset in there is $0.21 a share of higher SG&A expenses in the second half of the year versus the first half, and part -- about $0.13 of that is additional incentive increases for -- in the second half of the year as it's earned out over the remainder of the year. Then you've got OCC offsetting things about a $0.60 impact higher OCC in the second half of the year than the first half. And I might just as well finish this walk, $0.07 benefit, lower interest expense; $0.51 a share higher tax expense because of the higher earnings; and then there's a $0.04 of the NCI and other miscellaneous stuff gets you to $2.96 for the second half of the year versus the first half $1.74. Hopefully, that's responsive.",0.0,none,"Management directly answered the SG&A question with specific per-share figures ($0.21 drag), named drivers (travel/entertainment, incentive compensation, ERP delays), and provided a detailed full-year EPS walk with concrete numbers."
000007660520000041,PATK,2020-02-19,"Most of my follow-ups have been touched upon. If you mentioned it, Josh, I missed it, what was organic growth and/or the revenue contribution from acquisitions trailing 12 months in Q4?","Yes. So for the quarter, our consolidated industries were down 7%. And organically, we were down 5%. So organic, net of industry growth of plus 2%, and acquisitions contributed 8% of the revenues or $45 million for the quarter. For the year, with the headwinds in pricing, lower commodity costs, organic net of industry is plus 1%. So our industry is down 13% to organic, down 12%.",0.0,none,The response directly and specifically answers the question with concrete percentages and dollar figures for both the quarter and the full year.
