transcript_id,company_ticker,filing_date,question_text,response_text,analyst_name,management_speaker,non_responsiveness,vagueness,deflection,hedging,evasion_score,primary_evasion_type,rationale,judge_model
000004392020000050,GEF,2020-06-08,"Okay. That's fair. It's kind of late in the session as well. And then Pete said that fiscal Q3 will be the weakest from a demand standpoint. And looking back over many years, Greif has been very much a second half story. So I guess I'm wondering if that's still the case?","Yes. From a demand standpoint, the reason we pulled guidance is it is uncertain. But our best guess today is that as economies reopen, the pace of our volume would be dictated on how disrupted supply chains are and the velocity of destocking in RIPS business. And so that will determine how we evolve in our Q3 on volumes. We do know that in our RIPS business, the conical season, which is ag related, we are optimistic that, that will be a positive position. We believe, in the West Coast, the U.S., that, that will be positive volume for us in our fiber business and steel drum business. Our Latin America juice season and ag season has been delayed. So that's some potential upside. But it's just too uncertain with what we see in the RIPS business. I'll tell you, in Paper, we're a little more optimistic. I think our volume trough was in April in our Paper business, in our converting business. And our margin trough will be May because, as we've talked about the OCC squeeze. But I think you'll see sequential improvement in that business in Q3 because the exposure to durables and the economies are reopening. All that said, if you don't -- if you have a controlled reopening of economies without any real significant supply disruption and you don't have a severe second wave of COVID cases, we see an evolution in Q3, toward the end of Q3 and improving in Q4. Yes, Steve, I'd supplement what Pete said. I mean, Pete and I tend to be pretty optimistic people generally. I have to put on my CFO hat sometimes to be pessimistic by profession. But when we tried to go through our normal forecasting process, our business unit leaders are doing everything they can to talk to all of our customers. Our customers aren't able to tell them much out more than 15 or 30 days. And most of what we hear tends to be a bit pessimistic. But then every time we get the weekly results, they seem to be still going fine. Obviously, May trailed down a lot. And as Pete mentioned, we think that's tied to destocking. But we tend to be a GDP industrial production type of business and all of the predictions of the economists, I mean, are showing the second calendar quarter of the year just diving down in a 30-plus percent down. Well, if that happens, that should have a negative impact on our business. And so those disparities between how Pete and I are feeling about things and some of the optimistic things we see measured against what we're seeing as all the economists telling us it's going to be armageddon, have us at a point where we just decided we need to pull guidance.",D.A. Davidson &,"Greif, Inc., Lawrence Allen Hilsheimer",2,3,2,4,43.75,hedging,"Management partially addresses the seasonal second-half pattern but ultimately hedges heavily by citing uncertainty, pulled guidance, and conflicting signals rather than committing to whether the traditional second-half recovery pattern will hold.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"Pete, Larry, I hope you guys are well, in addition. I guess to start, this sourcing benefit that you characterized as $7 million in the second quarter with some carryover benefit in the third quarter. If we were to look back prior to the second quarter, what type of levels would the sourcing benefits have run at sort of quarter-to-quarter? Was it material or was it sort of de minimis prior to the second quarter?","It was slightly less in the first quarter, Justin. And if you go back further, and actually, if you went back in our transcripts a couple of years, a number of years ago, we were almost regularly talking about strategic sourcing benefits. They faded away in '18 and '19, and we virtually had none. And you look at the year-over-year comparisons, and we would talk about that. But like I said, when you get to dislocated markets where things are being disheveled and customers, businesses and industries are shutting down, suppliers end up having supply that they don't have -- nowhere to place, and you have those opportunities if you're sourcing group's out doing a good job.","Gabelli Funds, Llc","Greif, Inc.",2,3,2,2,31.25,vague,"The response gives a directional answer (slightly less in Q1, de minimis in 2018-2019) but avoids providing specific dollar figures or quantified historical comparisons that would allow the analyst to contextualize the $7M benefit.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"I'll move on to a second question, which is, I noticed your interest expense came down $4 million or $5 million. Is that mainly because of the proceeds from the sale? And if so, should I read into sort of the similar interest expense as sort of a harbinger that while you're withdrawing the free cash flow guide, one might not expect it to be too dissimilar from your prior guide? Or one might not expect the number that you're --","Yes, Justin. I feel comfortable answering your question, but I'll actually have David Lloyd, our Treasurer, answer it because he's sitting right here, and he'll be much more articulate and accurate than me. Yes. So the interest expense decline is really driven off of a couple of things. So obviously, we had a fairly heavy pace of debt repayment during the quarter, at least part of which was driven by proceeds from the CPG divestiture. Obviously, variable interest rates were at significant lows, and so we benefited from that significantly as well. And then we've done some things in the portfolio as well to drive some lower interest costs also. And then on continuing. Yes. So I think the -- what we have forecasted in the past is not going to change a whole heck of a lot from an interest rate standpoint. So most of our rates are fixed at this point. And -- yes.","Gabelli Funds, Llc","Greif, Inc.",2,3,1,2,25.0,vague,"The response addresses the interest expense question with some specifics but gives a vague, non-committal answer on the free cash flow implication ('not going to change a whole heck of a lot'), avoiding a direct confirmation or denial of the analyst's inference about the withdrawn guide.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"And then, I guess, for the second part of that question, I mean, is it presumptuous to sort of assume, based on the interest expense not changing too much, that the free cash flow, do you -- while sort of pulled is -- there's no reason to expect it to be too dissimilar from the prior view?","Well, yes. I mean, from the impact of interest expense, that's true. I mean, obviously, with us pulling back on providing guidance, I mean, the main driver of cash flow is obviously operations. And so that's why we are not giving free cash flow guidance for the remainder of the year either, Justin. But we do feel very confident about how well our treasury group's managing cash around the world and how well our business is doing, focusing on working capital. So we feel very good about what our cash flow for this year will be. But it's all going to be relative to results. And obviously, as we said, there's just too many variables out there right now for us to give any kind of guidance range around that.","Gabelli Funds, Llc","Greif, Inc.",2,3,2,4,43.75,hedging,"Management partially acknowledges the analyst's point about interest expense but explicitly declines to confirm or provide free cash flow guidance, citing too many variables and the withdrawal of guidance generally.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"Pete, Larry, Matt. I hope you and your families are doing well. I guess I'll try to take a stab again at the guidance question. Just trying to tie in, Pete, to your comments about volume trajectory. Can you, I guess, maybe any sense of, directionally, if the volume environment plays out as you expect, that EBITDA would be down on a sequential basis from fiscal Q2? Is that what I'm hearing?","Well, I mean, it's hard to predict that. But again, we expect our volumes in our Rigid business to be much lower in Q3. Some caveats is how fast supply chains recover and whether disruptions determines the evolution of that within the quarter into Q4. I think it also depends as economies are recovering from the health crisis. And you look at the case rate improvements, do you have any disruptions or negative events on the medical side that could hamper that recovery. I think there's just a lot of unknowns that could be variable that could impact it. But as what we know today, we think we're going to have a tougher volume month in RIPS in Q3, worse in May and slowly improve in June and July, better view in Q4 in Paper. I think you're going to see an improving scenario in volumes. Although, as I mentioned, April was a lower point for our converted products in April. But again, the variables on how fast the durable market opens, how fast the automobile manufacturing plants open, what's the demand of consumers, is there disruption during the health crisis is really challenging to predict. We're trying to give you our best view of the volume scenarios across both RIPS and Paper, Gabe. Yes. And Gabe, if you think about it, auto, like Pete explained earlier, has a big impact on our CorrChoice volumes, and they peaked up toward the end of May as some of the auto came back online. And nice articles in The Wall Street Journal today about consumer demand and some of the dealers not having enough inventory on F-150s and other kind of vehicles. But then you have the challenges they have because their supply chain is so complex. And so some of them are having struggles because they can't get parts from Mexico or whatever. So that -- it just makes it really, really hard to give you a solid answer of where do we think things are going.",Wells Fargo,"Peter G. Watson, Greif, Inc.",2,4,2,4,50.0,hedging,"Management acknowledges the directional question about sequential EBITDA decline but avoids confirming or denying it directly, instead listing numerous uncertainties and variables while providing only qualitative volume commentary rather than the EBITDA directional answer sought.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"Understand, not a problem. All right. Maybe this will be -- hopefully, this one is easier. With, I guess, closing the second machine at Mobile, Alabama, I'm assuming the residual of that business will be kind of redistributed to other facilities. But can you give us a sense of what fixed cost savings might look like? And is that -- I'm assuming -- is that part of the $40 million that you talked about? Or is that above and beyond or something separate?","Yes. There's a -- Gabe, there's about $1.5 million, just shy of that for the remainder of the year related to closure, and that's a $5 million on an annual basis. And just to put this in context, you'll recall, before we ever got into COVID, we've been talking since last June about being in an industrial recession. So we kicked off a process last fall of going through and reviewing every single one of our plants across all of our businesses. That has led already to closures of the 2 RIPS plants that Pete mentioned. And that was also the genesis of the closure of this plant. It's just not an efficient one. And you're right, we shifted all the business to -- we will shift all that business to other facilities. It just wasn't a cost-effective operation, unfortunately. And Gabe, just from a customer transition. It's a little easier for us because over 95% of our customers in that facility are all consumed internally within our own tube and core facilities.",Wells Fargo,"Greif, Inc.",1,2,2,1,12.5,none,"The response directly answers the question with specific figures ($1.5 million remainder of year, $5 million annually) and clarifies the relationship to broader cost-saving initiatives, though it adds some unprompted context about the industrial recession narrative.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"Interesting. Okay. And I guess maybe the last question. You -- I think Larry made comment of sourcing of alternative products within RIPS outside of materials, which I think is maybe 60% or so of the cost of goods sold wheel. So that sounds like it's a sustainable go forward benefit. Any way to put a number on that or quantify it for us?","Yes, it wasn't -- maybe I misstated something there. We have -- it was pricing and other actions that added to that margin value add, if that's the comment you're relating to. You might remember us talking about as we reinitiated our contracts on renewals, we put in for openers for other price areas other than just the standard raws. So yes, we do think and expect that those things should continue in our business. But what you won't see is the year-over-year because, obviously, as you go through that -- but we do think a lot of that will be sustainable in our margin.",Wells Fargo,"Greif, Inc.",2,4,2,4,50.0,vague,"The response acknowledges the topic but declines to provide any quantification, instead offering only qualitative assurances that benefits will be 'sustainable' without any specific numbers, percentages, or timeframes.",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"Pete and Larry, 2 follow-up questions. One is just going back to what Gabe was getting at, just in terms of the timing of EBITDA. So when you went into the year, you were thinking 3Q would be the high point and that second half EBITDA would be higher than the first half. Now obviously, that was pre-COVID, so a great deal has changed since then. Is it still reasonable to assume that 2H would be better than 1H? Or you just -- you have no way of knowing? No one really has much visibility. And so that statement is probably out the window, and there's really no way to know? What do you feel about that?","Adam, I think -- well, first of all, I didn't have a chance to say, I hope you and your family are doing well. Second, third quarter is clearly not going to be what it normally is. That's painfully obvious to us. And like I said, if the economists are right about where the calendar second quarter is, we should see negative impact in June. But again, Pete and I keep having optimism about it. So it's just all over the place about where we think it could be. We do not think 3Q is going to be what we thought it would be. We do expect that we'll start to see recovery in July and then through our fourth quarter. But trying to predict how strong that's going to be -- I mean, I listen to more economist calls than I ever have in my life, and I always listen to a lot, and the range is all over the place. So we just couldn't get a handle on it to feel confident to give you real true guidance.",Keybanc,"Greif, Inc.",2,4,2,4,50.0,hedging,"Management directly acknowledges the question about 2H vs 1H EBITDA but ultimately declines to give a clear answer, citing inability to predict recovery strength and explicitly stating they couldn't provide 'real true guidance.'",claude-sonnet-4-6
000004392020000050,GEF,2020-06-08,"Yes. No, understood. And just one last one on Paper volumes. So I think, Pete, you said CorrChoice volumes were down single digits in May and that Tubes and Cores are down a little more than that. Could you be a little more precise about the extent to which the CorrChoice and Tubes and Cores were down year-on-year in May? And then just more broadly, we've looked at containerboard volumes in past recessions, and they've averaged down about 6% in the months in which the U.S. was technically in recession. And usually, URB is a bit more economically sensitive than even containerboard. So who knows how long this recession will last. But just based on the economic conditions you see, I mean, do you think containerboard and/or URB volumes are more likely to be up or down for the balance of the year on a year-over-year basis?","Yes. So let me just reiterate what I mentioned about CorrChoice and Tubes and Core volumes. So my comments were about transitions from April to May. I wasn't referencing what our quarter volume. So in CorrChoice, from May -- April to May on a per day basis, they are up 6%. And if you remember, in May, we have 2 less working days than a year ago. So that's why I'm referencing sequential evolvement of corrugated. So the 6% up from April to May and the volume in the last 8 days at CorrChoice has been incredibly strong. And I referenced as durable manufacturing businesses that were closed and deemed nonessential during the shutdown, that included automotive, they're starting to fill up, open up and starting to fill up their supply chain needs. And that business, CorrChoice, has a lot of exposure to durables and automotive. So that was my comment on April to May transition. We don't really have any backlog beyond 24 days. So other than telling you what I know today, I'd be throwing a dart at a dart board trying to think beyond that. In Tube and Core, relative to May volumes versus April, sequentially, they're flat. And again, going forward, we have a high exposure, nonessential businesses that are gradually reopening. And based on how they come up, whether their demand is positive or there's disruptions in their supply chain would dictate what our trajectory is on volume in that business in Q3. In regard to your second question of trying to project what our volumes may be in boxboard and containerboard, that's a hypothetical question. It's because of the uncertainty we have right now. I'm just not going to go there and try to predict what those 2 businesses will do beyond what we know today.",Keybanc,"Greif, Inc.",3,3,2,4,50.0,hedging,"Management explicitly refuses to answer the year-over-year volume outlook question by calling it 'hypothetical' and declines to project beyond current visibility, while also clarifying the April-to-May sequential framing rather than providing the year-over-year figures the analyst specifically requested.",claude-sonnet-4-6
000004392020000064,GEF,2020-09-01,"Guys, I wanted to dig in a little bit into cash flow, and my first question. So recognizing that this is an unprecedented time, as you put it, the free cash flow guidance range for fiscal 4Q is fairly wide by $30 million. I was wondering what the swing factors are there, why it's particularly wide, given there's only a couple of months left to go. And then if you could remind us, CapEx is down, I think, year-on-year in the fourth quarter, yet the free cash flow guide 4Q versus 4Q last year is down $90 million. Again, what are the key drivers there that I might be forgetting about in terms of why you'd be pleased with that outcome?","Yes. Thanks, George. So the -- in terms of the range of cash flow, yes, let me do the last one first. I mean, clearly, we have done an extremely good job of generating cash in the last 12 months. If you look at the trailing 12 months, we've produced $322 million of free cash flow. So a lot of those activities began sometime ago, and we saw the benefits of those fallout in last year's Q4. But because of the production of cash through the early parts of this year, there's generally -- just less to generate in the last period of the year. We really had phenomenal performance in working capital management in the fourth quarter of last year. We've become much more consistent in that. But we enhanced our performance again in the third quarter of this year as we have every quarter, and so it just has evened it out a bit more. But if I look at the range for the last quarter, there's a couple of things going into that, George. We -- we're expecting to complete a number of CapEx projects. But we've run into difficulties, frankly, in having suppliers get us equipment that's ordered, those kind of things. And obviously, we're not going to pay for it until we get it. So there's some flexibility in that range for that. And the other is just where we are going to end up on working capital in the fourth quarter. So we built a relatively wide range in for basically those 2. The other thing that can fluctuate a bit is we've got a number of closures to tax exams that is what ended up helping us have a substantially lower tax rate in the third quarter. A number of those are ongoing and some of those could close, and you could end up needing to make payments or not. And so those 3 factors: that CapEx volatility, the working capital volatility and the tax timing on payments are the reason for the wider range in that fourth quarter guidance, George.","Bofa Merrill Lynch,","Greif, Inc.",1,2,1,2,12.5,none,"The response directly addresses both parts of the analyst's question, explaining the year-over-year decline in Q4 free cash flow and identifying three specific swing factors (CapEx timing, working capital, and tax exam closures) that account for the wide guidance range.",claude-sonnet-4-6
